Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Form Verification/Page_/span_Home""))",Chrome 100.0.4896.75,,,2022-04-11 11:13:18,2022-04-11 11:13:19,1.340s,PASSED
delay(10),Chrome 100.0.4896.75,,,2022-04-11 11:13:19,2022-04-11 11:13:29,9.947s,PASSED
title = getWindowTitle(),Chrome 100.0.4896.75,,,2022-04-11 11:13:29,2022-04-11 11:13:30,1.122s,PASSED
"verifyMatch(title, ""Enfamil Newborn, Infant & Toddler Nutrition │ Enfamil"", false)",Chrome 100.0.4896.75,,,2022-04-11 11:13:30,2022-04-11 11:13:30,0.051s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-11 11:13:30,2022-04-11 11:13:32,1.792s,PASSED
,,,,,,,
Test Cases/Venkat/Forms Verification/Drive to Thrive - Form Verification,Chrome 100.0.4896.75,Drive to Thrive Form Field Verification,,2022-04-11 11:13:32,2022-04-11 11:15:43,2m - 11.275s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-11 11:13:35,2022-04-11 11:13:38,3.518s,PASSED
navigateToUrl(DrivetoThrive),Chrome 100.0.4896.75,,,2022-04-11 11:13:38,2022-04-11 11:13:42,3.710s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-11 11:13:42,2022-04-11 11:13:42,0.268s,PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-11 11:13:42,2022-04-11 11:13:47,4.994s,PASSED
"click(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/button_GOT IT_onetrust-close-btn-handler on_95ce22""))",Chrome 100.0.4896.75,,,2022-04-11 11:13:47,2022-04-11 11:14:14,26.929s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Join the Drive to Thrive Support Program""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:14,2022-04-11 11:14:15,0.917s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/span_Join the Drive to Thrive Support Program""), ""Join the Drive to Thrive Support Program"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:15,2022-04-11 11:14:16,0.889s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/h1_Join the Drive to Thrive Support Program""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:16,2022-04-11 11:14:17,0.863s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/h1_Join the Drive to Thrive Support Program""), ""Join the Drive to Thrive Support Program"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:17,2022-04-11 11:14:17,0.708s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_Receive up to 70 in savings, plus monthly_bdae63""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:17,2022-04-11 11:14:18,0.848s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_Receive up to 70 in savings, plus monthly_bdae63""), ""Receive up to $70 in savings*, plus monthly emails with expert advice on caring for your premature baby. Check your mailbox within 2 weeks of joining for your exclusive savings!"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:18,2022-04-11 11:14:19,0.703s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_Benefits may vary""), ""*Benefits may vary."")",Chrome 100.0.4896.75,,,2022-04-11 11:14:19,2022-04-11 11:14:20,0.676s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_Benefits may vary""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:20,2022-04-11 11:14:20,0.631s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/img_Drive to Thrive Program_carousel-item__image""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:20,2022-04-11 11:14:21,0.703s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/img_Drive to Thrive Program_carousel-item__image""))",Chrome 100.0.4896.75,,,2022-04-11 11:14:21,2022-04-11 11:14:22,0.800s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_PERSONALIZE YOUR EXPERIENCE""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:22,2022-04-11 11:14:22,0.666s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_PERSONALIZE YOUR EXPERIENCE""), ""PERSONALIZE YOUR EXPERIENCE"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:22,2022-04-11 11:14:23,0.738s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_1. Tell us your name and email""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:23,2022-04-11 11:14:24,0.705s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_1. Tell us your name and email""), ""1. Tell us your name and email"")",Chrome 100.0.4896.75,,,2022-04-11 11:14:24,2022-04-11 11:14:25,0.702s,PASSED
